date,team,opponent,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,team_score,opponent_score,game_result
2002-09-08,Rams,Broncos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,23,1
2002-09-15,Rams,Giants,15.0,3.0,12.0,0.0,1.0,32.0,41.0,295.0,13.0,32.0,327.0,3.0,20.0,1.0,1.0,2.0,6.0,44.0,0.0,2.0,0.0,5.0,31.766666666666666,18.0,2.0,10.0,1.0,1.0,18.0,27.0,187.0,26.0,104.0,291.0,4.0,15.0,0.0,2.0,2.0,3.0,31.0,0.0,1.0,0.0,2.0,28.233333333333334,16.0,23.0,26,21,0
2002-09-23,Rams,Buccaneers,16.5,3.0,10.5,0.0,1.0,29.0,40.0,277.5,15.0,62.0,339.5,2.0,13.0,1.5,1.5,3.0,7.0,42.0,0.0,5.0,0.0,11.5,28.375,17.0,4.0,12.5,0.5,0.5,20.0,26.5,239.0,32.0,103.5,342.5,3.0,15.5,0.0,1.5,1.5,3.5,30.5,0.0,3.0,1.0,9.0,31.625,21.0,22.0,14,26,1
2002-09-29,Rams,Cowboys,18.0,3.6666666666666665,11.333333333333334,0.3333333333333333,1.0,29.333333333333332,41.666666666666664,274.6666666666667,16.666666666666668,71.0,345.6666666666667,3.0,19.333333333333332,1.0,2.3333333333333335,3.3333333333333335,6.333333333333333,39.0,0.0,4.666666666666667,0.0,13.333333333333334,30.51111111111111,16.0,3.6666666666666665,12.0,0.3333333333333333,0.3333333333333333,21.0,28.333333333333332,222.33333333333334,26.666666666666668,90.0,312.3333333333333,2.3333333333333335,13.666666666666666,0.3333333333333333,1.0,1.3333333333333333,5.0,37.0,0.0,3.3333333333333335,1.3333333333333333,10.333333333333334,29.48888888888889,18.666666666666668,23.333333333333332,13,10,0
2002-10-06,Rams,49ers,18.25,4.0,11.75,0.25,0.75,28.25,41.25,274.25,17.75,76.5,350.75,2.5,16.0,1.0,2.25,3.25,6.75,45.5,0.0,4.25,0.0,13.0,29.895833333333332,16.25,4.0,12.75,0.25,0.25,22.25,30.25,215.0,26.75,98.0,313.0,2.25,13.0,0.5,1.0,1.5,5.75,42.75,0.0,3.25,1.0,11.25,30.104166666666664,17.25,20.0,13,37,1
2002-10-13,Rams,Raiders,18.4,4.0,12.2,0.8,1.2,27.2,41.0,264.4,19.0,78.8,343.2,2.2,14.2,0.8,2.2,3.0,6.2,44.4,0.0,4.8,0.0,13.6,30.096666666666664,17.2,4.0,12.0,0.2,0.2,21.4,29.6,213.4,26.8,114.2,327.6,2.0,11.8,0.4,0.8,1.2,5.4,39.6,0.0,4.0,1.2,11.6,29.90333333333333,16.4,23.4,13,28,1
2002-10-20,Rams,Seahawks,18.5,4.0,12.0,0.6666666666666666,1.0,25.0,37.666666666666664,247.66666666666666,21.166666666666668,92.0,339.6666666666667,2.3333333333333335,15.5,0.8333333333333334,1.8333333333333333,2.6666666666666665,7.0,50.666666666666664,0.0,5.0,0.0,14.0,30.375,17.666666666666668,3.8333333333333335,11.833333333333334,0.16666666666666666,0.5,22.833333333333332,32.166666666666664,228.16666666666666,25.166666666666668,106.0,334.1666666666667,2.3333333333333335,14.833333333333334,0.5,1.0,1.5,6.833333333333333,50.833333333333336,0.0,4.333333333333333,1.0,12.5,29.625,15.833333333333334,24.166666666666668,20,37,1
2002-11-03,Rams,Cardinals,19.857142857142858,4.571428571428571,12.571428571428571,0.5714285714285714,0.8571428571428571,24.571428571428573,38.0,249.42857142857142,24.142857142857142,110.0,359.42857142857144,2.142857142857143,14.0,0.8571428571428571,1.7142857142857142,2.5714285714285716,6.857142857142857,48.42857142857143,0.0,5.142857142857143,0.0,14.428571428571429,31.814285714285713,17.0,3.5714285714285716,11.714285714285714,0.14285714285714285,0.5714285714285714,21.0,31.857142857142858,229.85714285714286,23.857142857142858,98.0,327.85714285714283,2.4285714285714284,14.857142857142858,0.5714285714285714,1.1428571428571428,1.7142857142857142,6.142857142857143,45.714285714285715,0.0,4.571428571428571,1.1428571428571428,13.714285714285714,28.185714285714287,16.428571428571427,26.0,27,14,0
2002-11-10,Rams,Chargers,20.25,4.75,12.5,0.5,0.75,24.0,36.875,246.125,25.625,120.25,366.375,2.125,15.0,0.75,1.75,2.5,7.125,52.375,0.0,5.0,0.0,14.125,32.270833333333336,16.5,3.75,11.75,0.125,0.625,20.75,31.625,222.5,23.25,93.75,316.25,2.5,15.75,0.75,1.125,1.875,6.125,45.0,0.0,4.75,1.25,14.0,27.729166666666668,17.75,24.5,24,28,1
2002-11-18,Rams,Bears,20.77777777777778,4.666666666666667,12.11111111111111,0.4444444444444444,0.6666666666666666,25.333333333333332,38.111111111111114,269.1111111111111,24.555555555555557,114.77777777777777,383.8888888888889,1.8888888888888888,13.333333333333334,1.1111111111111112,1.5555555555555556,2.6666666666666665,7.444444444444445,56.0,0.0,5.0,0.0,14.333333333333334,32.04259259259259,16.333333333333332,3.6666666666666665,11.555555555555555,0.2222222222222222,0.6666666666666666,19.77777777777778,30.333333333333332,212.22222222222223,23.88888888888889,97.33333333333333,309.55555555555554,2.3333333333333335,15.0,0.6666666666666666,1.2222222222222223,1.8888888888888888,6.777777777777778,49.111111111111114,0.0,4.777777777777778,1.5555555555555556,14.11111111111111,27.95740740740741,18.444444444444443,24.88888888888889,16,21,1
